quant,bits,group,rb,rc,rdt,layer_mode,ppl
fake,8,128,8,8,36,mid,35.7918
fake,8,128,8,8,36,late,215.8376
fake,8,128,8,8,36,all,10826.9951
fake,8,128,8,8,24,early,33.4807
fake,8,128,8,8,24,mid,36.9948
fake,8,128,8,8,24,late,292.7712
fake,8,128,8,8,24,all,12863.8252
fake,8,128,8,8,12,early,34.8191
fake,8,128,8,8,12,mid,38.7816
fake,8,128,8,8,12,late,403.6483
fake,8,128,8,8,12,all,17287.7480
fake,8,128,8,8,6,early,36.2711
fake,8,128,8,8,6,mid,39.9658
fake,8,128,8,8,6,late,454.3032
fake,8,128,8,8,6,all,24656.6172
fake,8,128,8,4,48,early,33.3154
fake,8,128,8,4,48,mid,40.9561
fake,8,128,8,4,48,late,3243.9812
fake,8,128,8,4,48,all,50858.4531
fake,8,128,8,4,36,early,34.2667
fake,8,128,8,4,36,mid,41.9042
fake,8,128,8,4,36,late,1620.4893
fake,8,128,8,4,36,all,30341.6680
fake,8,128,8,4,24,early,35.4767
fake,8,128,8,4,24,mid,42.9678
fake,8,128,8,4,24,late,1821.7914
fake,8,128,8,4,24,all,42322.0625
fake,8,128,8,4,12,early,36.9115
fake,8,128,8,4,12,mid,44.4175
fake,8,128,8,4,12,late,2018.9329
fake,8,128,8,4,12,all,55411.8789
fake,8,128,8,4,6,early,38.4449
fake,8,128,8,4,6,mid,45.4350
fake,8,128,8,4,6,late,1948.3042
fake,8,128,8,4,6,all,59268.3125
fake,8,128,4,16,48,early,26.4573
fake,8,128,4,16,48,mid,30.6576
fake,8,128,4,16,48,late,100.1691
fake,8,128,4,16,48,all,470.0823
fake,8,128,4,16,36,early,26.8451
fake,8,128,4,16,36,mid,31.5385
fake,8,128,4,16,36,late,148.8135
fake,8,128,4,16,36,all,521.0341
fake,8,128,4,16,24,early,27.3894
fake,8,128,4,16,24,mid,32.6664
fake,8,128,4,16,24,late,197.6960
fake,8,128,4,16,24,all,630.4886
fake,8,128,4,16,12,early,28.2197
fake,8,128,4,16,12,mid,34.3709
fake,8,128,4,16,12,late,251.5189
fake,8,128,4,16,12,all,813.9850
fake,8,128,4,16,6,early,29.1871
fake,8,128,4,16,6,mid,35.9726
fake,8,128,4,16,6,late,264.5728
fake,8,128,4,16,6,all,958.0739
fake,8,128,4,8,48,early,33.1185
fake,8,128,4,8,48,mid,39.4239
fake,8,128,4,8,48,late,952.9399
fake,8,128,4,8,48,all,288068.1562
fake,8,128,4,8,36,early,34.0230
fake,8,128,4,8,36,mid,40.3243
fake,8,128,4,8,36,late,617.1777
fake,8,128,4,8,36,all,146620.3906
fake,8,128,4,8,24,early,35.2309
fake,8,128,4,8,24,mid,41.2969
fake,8,128,4,8,24,late,695.6977
fake,8,128,4,8,24,all,150377.0781
fake,8,128,4,8,12,early,36.5782
fake,8,128,4,8,12,mid,42.7266
fake,8,128,4,8,12,late,783.1844
fake,8,128,4,8,12,all,146744.0625
fake,8,128,4,8,6,early,38.0966
fake,8,128,4,8,6,mid,43.9358
fake,8,128,4,8,6,late,789.3161
fake,8,128,4,8,6,all,153161.9219
fake,8,128,4,4,48,early,34.5119
fake,8,128,4,4,48,mid,44.5995
fake,8,128,4,4,48,late,75013.4609
fake,8,128,4,4,48,all,1531269.5000
fake,8,128,4,4,36,early,35.5137
fake,8,128,4,4,36,mid,45.2678
fake,8,128,4,4,36,late,9051.2285
fake,8,128,4,4,36,all,375503.6250
fake,8,128,4,4,24,early,36.8085
