in_mode,out_mode,in_rank_x,out_rank,quant_type,quant_group,ppl,delta_ppl,svd_in_sec,svd_outW_sec,quant_in_sec,quant_outW_sec,eval_sec,tok_per_s,peak_vram_gb
early_mid,mid,1024,1792,int8,64,10.750147,1.756119,0.00,0.00,0.00,0.00,17.87,"11,120",9.16
early_mid,mid,1024,1792,int4,32,11.011286,2.017257,0.00,0.00,0.00,0.00,17.87,"11,118",9.16
early_mid,mid,1024,1792,int4,64,11.061285,2.067256,0.00,0.00,0.00,0.00,17.86,"11,120",9.16
early_mid,mid,1024,1536,none,0,11.182212,2.188183,0.00,0.00,0.00,0.00,17.67,"11,246",9.08
early_mid,mid,1024,1536,int8,32,11.183112,2.189083,0.00,0.00,0.00,0.00,17.67,"11,245",9.08
early_mid,mid,1024,1536,int8,64,11.185815,2.191786,0.00,0.00,0.00,0.00,17.67,"11,245",9.08
early_mid,mid,1024,1536,int4,32,11.497749,2.503720,0.00,0.00,0.00,0.00,17.66,"11,247",9.08
early_mid,mid,1024,1536,int4,64,11.560194,2.566165,0.00,0.00,0.00,0.00,17.67,"11,245",9.08



BASE,BASE,DENSE,DENSE,none,0,8.994391,0.000000,0.00,0.00,0.00,0.00,18.61,"10,675",8.00
early_mid,mid,DENSE,DENSE,none,0,8.994391,0.000000,0.00,0.00,0.00,0.00,18.63,"10,663",8.00
early_mid,mid,DENSE,DENSE,int8,32,8.995115,0.000724,0.00,0.00,0.09,0.07,18.66,"10,644",8.00
early_mid,mid,DENSE,DENSE,int8,64,8.995115,0.000724,0.00,0.00,0.06,0.06,18.72,"10,613",8.00
early_mid,mid,DENSE,DENSE,int4,32,9.196755,0.202364,0.00,0.00,0.07,0.07,18.72,"10,612",8.00
early_mid,mid,DENSE,DENSE,int4,64,9.252104,0.257713,0.00,0.00,0.06,0.06,18.73,"10,603",8.00
early_mid,mid,DENSE,1792,none,0,9.436485,0.442094,0.00,11.30,0.00,0.00,18.88,"10,522",8.54
early_mid,mid,DENSE,1792,int8,32,9.436865,0.442474,0.00,11.18,0.07,0.07,18.87,"10,525",8.54
early_mid,mid,DENSE,1792,int8,64,9.438766,0.444375,0.00,11.19,0.06,0.06,18.88,"10,524",8.54
early_mid,mid,DENSE,1792,int4,32,9.792260,0.797869,0.00,11.20,0.07,0.07,18.96,"10,475",8.54
early_mid,mid,DENSE,1792,int4,64,9.881191,0.886800,0.00,11.21,0.06,0.06,18.97,"10,472",8.54
early_mid,mid,DENSE,1536,none,0,9.809429,0.815038,0.00,11.21,0.00,0.00,18.76,"10,590",8.47
early_mid,mid,DENSE,1536,int8,32,9.809824,0.815433,0.00,11.20,0.07,0.06,18.76,"10,589",8.47
early_mid,mid,DENSE,1536,int8,64,9.810614,0.816223,0.00,11.20,0.06,0.06,18.76,"10,589",8.47
early_mid,mid,DENSE,1536,int4,32,10.221163,1.226772,0.00,11.20,0.07,0.06,18.76,"10,588",8.47
early_mid,mid,DENSE,1536,int4,64,10.328329,1.333938,0.00,11.20,0.06,0.06,18.76,"10,590",8.47
early_mid,mid,1280,DENSE,none,0,9.758602,0.764211,22.72,0.00,0.00,0.00,18.18,"10,924",8.77
early_mid,mid,1280,DENSE,int8,32,9.762729,0.768338,22.73,0.00,0.06,0.07,18.18,"10,926",8.77
early_mid,mid,1280,DENSE,int8,64,9.761550,0.767159,22.73,0.00,0.06,0.06,18.18,"10,927",8.77
early_mid,mid,1280,DENSE,int4,32,10.030534,1.036143,22.73,0.00,0.06,0.07,18.17,"10,933",8.77
early_mid,mid,1280,DENSE,int4,64,10.109815,1.115424,22.72,0.00,0.06,0.06,18.17,"10,933",8.77
early_mid,mid,1280,1792,none,0,10.184800,1.190409,0.00,0.00,0.00,0.00,18.31,"10,852",9.31
early_mid,mid,1280,1792,int8,32,10.186441,1.192050,0.00,0.00,0.02,0.04,18.31,"10,852",9.31
early_mid,mid,1280,1792,int8,64,10.188287,1.193896,0.00,0.00,0.02,0.04,18.31,"10,850",9.31
early_mid,mid,1280,1792,int4,32,10.623407,1.629016,0.00,0.00,0.02,0.04,18.31,"10,852",9.31
early_mid,mid,1280,1792,int4,64,10.712334,1.717943,0.00,0.00,0.02,0.04,18.30,"10,853",9.31
early_mid,mid,1280,1536,none,0,10.589450,1.595059,0.00,0.00,0.00,0.00,18.11,"10,971",9.24
early_mid,mid,1280,1536,int8,32,10.590730,1.596339,0.00,0.00,0.02,0.04,18.10,"10,974",9.24
early_mid,mid,1280,1536,int8,64,10.592862,1.598471,0.00,0.00,0.02,0.04,18.11,"10,972",9.24
early_mid,mid,1280,1536,int4,32,11.096308,2.101917,0.00,0.00,0.02,0.04,18.10,"10,973",9.24
early_mid,mid,1280,1536,int4,64,11.203171,2.208780,0.00,0.00,0.02,0.04,18.11,"10,972",9.24
early_mid,mid,1024,DENSE,none,0,10.335818,1.341427,22.70,0.00,0.00,0.00,17.73,"11,203",8.62
early_mid,mid,1024,DENSE,int8,32,10.341230,1.346839,22.71,0.00,0.05,0.07,17.72,"11,210",8.62
early_mid,mid,1024,DENSE,int8,64,10.341230,1.346839,22.73,0.00,0.05,0.06,17.72,"11,210",8.62
